"unitid","school_name","address","state","A01"
217235,"Johnson & Wales University-Providence","8 Abbott Park Place, Providence, Rhode Island","Rhode Island",262117835
217305,"New England Institute of Technology","One New England Tech Boulevard, East Greenwich, Rhode Island","Rhode Island",190756732
217402,"Providence College","1 Cunningham Square, Providence, Rhode Island","Rhode Island",237915006
217493,"Rhode Island School of Design","20 Washington Place, Providence, Rhode Island","Rhode Island",344460404
217518,"Roger Williams University","One Old Ferry Road, Bristol, Rhode Island","Rhode Island",59469249
217536,"Salve Regina University","100 Ochre Point Avenue, Newport, Rhode Island","Rhode Island",64249000
217606,"Northpoint Bible College","320 South Main Street, Haverhill, Massachusetts","Massachusetts",558608
217624,"Allen University","1530 Harden Street, Columbia, South Carolina","South Carolina",5850000
217633,"Anderson University","316 Boulevard, Anderson, South Carolina","South Carolina",29669224
217688,"Charleston Southern University","9200 University Blvd, Charleston, South Carolina","South Carolina",21512715
217721,"Benedict College","1600 Harden Street, Columbia, South Carolina","South Carolina",32914655
217749,"Bob Jones University","1700 Wade Hampton Boulavard, Greenville, South Carolina","South Carolina",15720599
217776,"Southern Wesleyan University","907 Wesleyan Drive, Central, South Carolina","South Carolina",7151291
217873,"Claflin University","400 Magnolia Street, Orangeburg, South Carolina","South Carolina",28619305
217891,"Clinton College","1029 Crawford Rd, Rock Hill, South Carolina","South Carolina",671836
217907,"Coker University","300 E College Ave, Hartsville, South Carolina","South Carolina",30488603
217925,"Columbia International University","7435 Monticello Rd, Columbia, South Carolina","South Carolina",42417509
217934,"Columbia College","1301 Columbia College Dr, Columbia, South Carolina","South Carolina",19704728
217961,"Converse University","580 E Main St, Spartanburg, South Carolina","South Carolina",89959630
217998,"Erskine College","2 Washington St, Due West, South Carolina","South Carolina",48492194
218070,"Furman University","3300 Poinsett Highway, Greenville, South Carolina","South Carolina",754242319
218238,"Limestone University","1115 College Drive, Gaffney, South Carolina","South Carolina",79477
218399,"Morris College","100 West College Street, Sumter, South Carolina","South Carolina",11575790
218414,"Newberry College","2100 College St, Newberry, South Carolina","South Carolina",19070225
218441,"North Greenville University","7801 N. Tigerville Road, Tigerville, South Carolina","South Carolina",37667965
218539,"Presbyterian College","503 South Broad Street, Clinton, South Carolina","South Carolina",96887559
218751,"Sherman College of Chiropractic","2020 Springfield Rd, Spartanburg, South Carolina","South Carolina",1836283
218821,"Spartanburg Methodist College","1750 Powell Mill Road, Spartanburg, South Carolina","South Carolina",22178803
218919,"Voorhees University","1897 Voorhees Road, Denmark, South Carolina","South Carolina",8061881
218973,"Wofford College","429 N Church St, Spartanburg, South Carolina","South Carolina",212845289
219000,"Augustana University","2001 S Summit Ave, Sioux Falls, South Dakota","South Dakota",86817698
219091,"Dakota Wesleyan University","1200 W University Ave, Mitchell, South Dakota","South Dakota",29630645
219170,"Avera McKennan Hospital School of Radiologic Technology","1325 South Cliff Avenue, Sioux Falls, South Dakota","South Dakota",NA
219198,"Mount Marty University","1105 W. 8th Street, Yankton, South Dakota","South Dakota",27397493
