"unitid","school_name","address","state","A01","H03A"
126049,"Thomas Jefferson School of Law","701 B Street - Suite 110, San Diego, California","California",0,1
126076,"Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary","7215 Waring Ave, Los Angeles, California","California",0,NA
126669,"Colorado Christian University","8787 West Alameda Avenue, Lakewood, Colorado","Colorado",8933462,257446
126678,"Colorado College","14. E Cache La Poudre St., Colorado Springs, Colorado","Colorado",895408310,22336068
126979,"Denver Seminary","6399 S. Santa Fe Drive, Littleton, Colorado","Colorado",43211906,1353000
127060,"University of Denver","2199 S. University Blvd, Denver, Colorado","Colorado",1006862105,45188864
127273,"Iliff School of Theology","2323 E. Iliff Ave., Denver, Colorado","Colorado",43236821,2808801
127653,"Naropa University","2130 Arapahoe Ave, Boulder, Colorado","Colorado",3085668,2117
127714,"Nazarene Bible College","1465 Kelly Johnson Blvd, Colorado Springs, Colorado","Colorado",3638424,21000
127918,"Regis University","3333 Regis Blvd, Denver, Colorado","Colorado",97233128,5292856
127954,"Montessori Education Center of the Rockies","3975 Martin Luther King Blvd., Denver, Colorado","Colorado",NA,NA
128498,"Albertus Magnus College","700 Prospect St, New Haven, Connecticut","Connecticut",34365307,592781
128586,"Bais Binyomin Academy","51 Carlton Road, Monsey, New York","New York",0,NA
128744,"University of Bridgeport","126 Park Avenue, Bridgeport, Connecticut","Connecticut",0,232000
128902,"Connecticut College","270 Mohegan Avenue, New London, Connecticut","Connecticut",575173000,19089000
129154,"Goodwin University","One Riverside Drive, East Hartford, Connecticut","Connecticut",0,1001000
129242,"Fairfield University","1073 N Benson Rd, Fairfield, Connecticut","Connecticut",366012867,2839000
129428,"Rensselaer at Hartford","275 Windsor St, Hartford, Connecticut","Connecticut",3282000,4000
129491,"Hartford International University for Religion and Peace","77 Sherman Street, Hartford, Connecticut","Connecticut",64928310,207600
129525,"University of Hartford","200 Bloomfield Ave, West Hartford, Connecticut","Connecticut",195181000,1996000
129534,"Holy Apostles College and Seminary","33 Prospect Hill Road, Cromwell, Connecticut","Connecticut",8056851,NA
129774,"Mitchell College","437 Pequot Avenue, New London, Connecticut","Connecticut",7947276,0
129941,"University of New Haven","300 Boston Post Road, West Haven, Connecticut","Connecticut",94882077,6627162
130226,"Quinnipiac University","275 Mt Carmel Ave, Hamden, Connecticut","Connecticut",718760681,6733721
130253,"Sacred Heart University","5151 Park Ave, Fairfield, Connecticut","Connecticut",240889341,12161606
130314,"University of Saint Joseph","1678 Asylum Avenue, West Hartford, Connecticut","Connecticut",40867000,1986000
130590,"Trinity College","300 Summit St, Hartford, Connecticut","Connecticut",802812845,15852712
130697,"Wesleyan University","45 Wyllys Avenue, Middletown, Connecticut","Connecticut",1610246000,33307000
130794,"Yale University","Woodbridge Hall, New Haven, Connecticut","Connecticut",46472072000,301355000
130837,"Margaret H Rollins School of Nursing at Beebe Medical Center","424 Savannah Rd, Lewes, Delaware","Delaware",NA,NA
